"feature","importance"
"total_day_minutes",242.09132682265
"number_customer_service_calls",111.294253312934
"total_eve_minutes",91.4982586773818
"international_plan",73.4704749862511
"total_intl_minutes",71.9031514745098
"total_night_minutes",61.4476329637088
"total_intl_calls",57.7575194216586
"account_length",46.6085617510897
"total_day_calls",44.3039853890263
"total_night_calls",43.1456167563417
"total_eve_calls",41.4074958181106
"state",37.6292398424179
"number_vmail_messages",36.191235603919
"area_code",11.9372586194991
